longrange1,latrange1,longrange2,latrange2
-44.03932060000001,-22.668931999999963,-43.98932060000001,-22.618931999999962
-44.03932060000001,-22.618931999999962,-43.98932060000001,-22.56893199999996
-44.03932060000001,-22.56893199999996,-43.98932060000001,-22.51893199999996
-44.03932060000001,-22.51893199999996,-43.98932060000001,-22.46893199999996
-44.03932060000001,-22.46893199999996,-43.98932060000001,-22.41893199999996
-44.03932060000001,-22.41893199999996,-43.98932060000001,-22.36893199999996
-44.03932060000001,-22.36893199999996,-43.98932060000001,-22.318931999999958
-44.03932060000001,-22.318931999999958,-43.98932060000001,-22.268931999999957
-44.03932060000001,-22.268931999999957,-43.98932060000001,-22.218931999999956
-44.03932060000001,-22.218931999999956,-43.98932060000001,-22.168931999999955
-44.03932060000001,-22.168931999999955,-43.98932060000001,-22.118931999999955
-43.98932060000001,-23.11893199999997,-43.939320600000016,-23.06893199999997
-43.98932060000001,-23.06893199999997,-43.939320600000016,-23.018931999999968
-43.98932060000001,-23.018931999999968,-43.939320600000016,-22.968931999999967
-43.98932060000001,-22.968931999999967,-43.939320600000016,-22.918931999999966
-43.98932060000001,-22.918931999999966,-43.939320600000016,-22.868931999999965
-43.98932060000001,-22.868931999999965,-43.939320600000016,-22.818931999999965
-43.98932060000001,-22.818931999999965,-43.939320600000016,-22.768931999999964
-43.98932060000001,-22.768931999999964,-43.939320600000016,-22.718931999999963
-43.98932060000001,-22.718931999999963,-43.939320600000016,-22.668931999999963
-43.98932060000001,-22.668931999999963,-43.939320600000016,-22.618931999999962
-43.98932060000001,-22.618931999999962,-43.939320600000016,-22.56893199999996
-43.98932060000001,-22.56893199999996,-43.939320600000016,-22.51893199999996
-43.98932060000001,-22.51893199999996,-43.939320600000016,-22.46893199999996
-43.98932060000001,-22.46893199999996,-43.939320600000016,-22.41893199999996
-43.98932060000001,-22.41893199999996,-43.939320600000016,-22.36893199999996
-43.98932060000001,-22.36893199999996,-43.939320600000016,-22.318931999999958
-43.98932060000001,-22.318931999999958,-43.939320600000016,-22.268931999999957
-43.98932060000001,-22.268931999999957,-43.939320600000016,-22.218931999999956
-43.98932060000001,-22.218931999999956,-43.939320600000016,-22.168931999999955
-43.98932060000001,-22.168931999999955,-43.939320600000016,-22.118931999999955
-43.939320600000016,-23.11893199999997,-43.88932060000002,-23.06893199999997
-43.939320600000016,-23.06893199999997,-43.88932060000002,-23.018931999999968
-43.939320600000016,-23.018931999999968,-43.88932060000002,-22.968931999999967
-43.939320600000016,-22.968931999999967,-43.88932060000002,-22.918931999999966
-43.939320600000016,-22.918931999999966,-43.88932060000002,-22.868931999999965
-43.939320600000016,-22.868931999999965,-43.88932060000002,-22.818931999999965
-43.939320600000016,-22.818931999999965,-43.88932060000002,-22.768931999999964
-43.939320600000016,-22.768931999999964,-43.88932060000002,-22.718931999999963
-43.939320600000016,-22.718931999999963,-43.88932060000002,-22.668931999999963
-43.939320600000016,-22.668931999999963,-43.88932060000002,-22.618931999999962
-43.939320600000016,-22.618931999999962,-43.88932060000002,-22.56893199999996
-43.939320600000016,-22.56893199999996,-43.88932060000002,-22.51893199999996
-43.939320600000016,-22.51893199999996,-43.88932060000002,-22.46893199999996
-43.939320600000016,-22.46893199999996,-43.88932060000002,-22.41893199999996
-43.939320600000016,-22.41893199999996,-43.88932060000002,-22.36893199999996
-43.939320600000016,-22.36893199999996,-43.88932060000002,-22.318931999999958
-43.939320600000016,-22.318931999999958,-43.88932060000002,-22.268931999999957
-43.939320600000016,-22.268931999999957,-43.88932060000002,-22.218931999999956
-43.939320600000016,-22.218931999999956,-43.88932060000002,-22.168931999999955
-43.939320600000016,-22.168931999999955,-43.88932060000002,-22.118931999999955
-43.939320600000016,-22.118931999999955,-43.88932060000002,-22.068931999999954
-43.88932060000002,-23.11893199999997,-43.83932060000002,-23.06893199999997
-43.88932060000002,-23.06893199999997,-43.83932060000002,-23.018931999999968
-43.88932060000002,-22.968931999999967,-43.83932060000002,-22.918931999999966
-43.88932060000002,-22.918931999999966,-43.83932060000002,-22.868931999999965
-43.88932060000002,-22.868931999999965,-43.83932060000002,-22.818931999999965
-43.88932060000002,-22.818931999999965,-43.83932060000002,-22.768931999999964
-43.88932060000002,-22.768931999999964,-43.83932060000002,-22.718931999999963
-43.88932060000002,-22.718931999999963,-43.83932060000002,-22.668931999999963
-43.88932060000002,-22.668931999999963,-43.83932060000002,-22.618931999999962
-43.88932060000002,-22.618931999999962,-43.83932060000002,-22.56893199999996
-43.88932060000002,-22.56893199999996,-43.83932060000002,-22.51893199999996
-43.88932060000002,-22.51893199999996,-43.83932060000002,-22.46893199999996
-43.88932060000002,-22.46893199999996,-43.83932060000002,-22.41893199999996
-43.88932060000002,-22.41893199999996,-43.83932060000002,-22.36893199999996
-43.88932060000002,-22.36893199999996,-43.83932060000002,-22.318931999999958
-43.88932060000002,-22.318931999999958,-43.83932060000002,-22.268931999999957
-43.88932060000002,-22.268931999999957,-43.83932060000002,-22.218931999999956
-43.88932060000002,-22.218931999999956,-43.83932060000002,-22.168931999999955
-43.88932060000002,-22.168931999999955,-43.83932060000002,-22.118931999999955
-43.88932060000002,-22.118931999999955,-43.83932060000002,-22.068931999999954
-43.83932060000002,-23.11893199999997,-43.789320600000025,-23.06893199999997
-43.83932060000002,-23.06893199999997,-43.789320600000025,-23.018931999999968
-43.83932060000002,-22.968931999999967,-43.789320600000025,-22.918931999999966
-43.83932060000002,-22.918931999999966,-43.789320600000025,-22.868931999999965
-43.83932060000002,-22.868931999999965,-43.789320600000025,-22.818931999999965
-43.83932060000002,-22.818931999999965,-43.789320600000025,-22.768931999999964
